sample,oldName,ID,region,bank,site,date,species,latDD,longDD,depthFt,depthM,depthZone
SGM111,SGM125,SGM111,NWGOM,EFGB,EBMeso1,7/31/21,S. intersepta,27.91102,-93.59668,155,47.2,Mesophotic
SGM112,SGM126,SGM112,NWGOM,EFGB,EBMeso1,7/31/21,S. intersepta,27.91102,-93.59668,154,46.9,Mesophotic
SGM113,SGM128,SGM113,NWGOM,EFGB,EBMeso1,7/31/21,S. intersepta,27.91102,-93.59668,153,46.6,Mesophotic
SGM114,SGM129,SGM114,NWGOM,EFGB,EBMeso1,7/31/21,S. intersepta,27.91102,-93.59668,148,45.1,Mesophotic
SGM115,SGM130,SGM115,NWGOM,EFGB,EBShal1,7/31/21,S. intersepta,27.9114,-93.59821,67,20.4,Shallow
SGM116,SGM131,SGM116,NWGOM,EFGB,EBShal1,7/31/21,S. intersepta,27.9114,-93.59821,68,20.7,Shallow
SGM117,SGM132,SGM117,NWGOM,EFGB,EBShal1,7/31/21,S. intersepta,27.9114,-93.59821,69,21,Shallow
SGM118,SGM133,SGM118,NWGOM,EFGB,EBShal1,7/31/21,S. intersepta,27.9114,-93.59821,67,20.4,Shallow
SGM119,SGM134,SGM119,NWGOM,EFGB,EBShal1,7/31/21,S. intersepta,27.9114,-93.59821,71,21.6,Shallow
SGM120,SGM135,SGM120,NWGOM,EFGB,EBShal1,7/31/21,S. intersepta,27.9114,-93.59821,69,21,Shallow
SGM121,SGM136,SGM121,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,161,49.1,Mesophotic
SGM122,SGM138,SGM122,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,150,45.7,Mesophotic
SGM123,SGM139,SGM123,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,149,45.4,Mesophotic
SGM124,SGM140,SGM124,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,154,46.9,Mesophotic
SGM125,SGM141,SGM125,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,146,44.5,Mesophotic
SGM126,SGM142,SGM126,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,156,47.5,Mesophotic
SGM127,SGM143,SGM127,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,152,46.3,Mesophotic
SGM128,SGM144,SGM128,NWGOM,EFGB,EBMeso1,8/1/21,S. intersepta,27.91102,-93.59668,151,46,Mesophotic
SGM129,SGM145,SGM129,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,73,22.3,Shallow
SGM130,SGM146,SGM130,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,75,22.9,Shallow
SGM131,SGM148,SGM131,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,74,22.6,Shallow
SGM132,SGM149,SGM132,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,74,22.6,Shallow
SGM133,SGM150,SGM133,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,76,23.2,Shallow
SGM134,SGM151,SGM134,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,75,22.9,Shallow
SGM135,SGM152,SGM135,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,78,23.8,Shallow
SGM136,SGM153,SGM136,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,74,22.6,Shallow
SGM137,SGM154,SGM137,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,73,22.3,Shallow
SGM138,SGM155,SGM138,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,77,23.5,Shallow
SGM139,SGM156,SGM139,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,76,23.2,Shallow
SGM140,SGM158,SGM140,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,78,23.8,Shallow
SGM141,SGM159,SGM141,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,79,24.1,Shallow
SGM142,SGM160,SGM142,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,69,21,Shallow
SGM143,SGM161,SGM143,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,66,20.1,Shallow
SGM144,SGM162,SGM144,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,67,20.4,Shallow
SGM145,SGM163,SGM145,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,67,20.4,Shallow
SGM146,SGM164,SGM146,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,67,20.4,Shallow
SGM147,SGM165,SGM147,NWGOM,EFGB,EBShal1,8/1/21,S. intersepta,27.9114,-93.59821,65,19.8,Shallow
SGM148,SGM166,SGM148,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,77,23.5,Shallow
SGM149,SGM167,SGM149,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,78,23.8,Shallow
SGM150,SGM168,SGM150,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,78,23.8,Shallow
SGM151,SGM169,SGM151,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,82,25,Shallow
SGM152.1,SGM170,SGM152,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,80,24.4,Shallow
SGM152.2,SGM170.2,SGM152,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,80,24.4,Shallow
SGM152.3,SGM170.3,SGM152,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,80,24.4,Shallow
SGM153,SGM171,SGM153,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,75,22.9,Shallow
SGM154,SGM172,SGM154,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,76,23.2,Shallow
SGM155,SGM173,SGM155,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,80,24.4,Shallow
SGM156,SGM174,SGM156,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,81,24.7,Shallow
SGM157,SGM175,SGM157,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,78,23.8,Shallow
SGM158,SGM176,SGM158,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,77,23.5,Shallow
