oldName,Sample
OGM024.2,OGM024.2
OGM024.3,OGM024.3
OGM025,OGM025
OGM026,OGM026
OGM027,OGM027
OGM029,OGM028
OGM030,OGM029
OGM031,OGM030
OGM032,OGM031
OGM033,OGM032
OGM034,OGM033
OGM036,OGM034
OGM037,OGM035
OGM040,OGM036
OGM041,OGM037
OGM043,OGM038
OGM044,OGM039
OGM045,OGM040
OGM046,OGM041
OGM047,OGM042
OGM048,OGM043
OGM049,OGM044
OGM050,OGM045
OGM051,OGM046
OGM052,OGM047
OGM053,OGM048
OGM054,OGM049
OGM055,OGM050
OGM056,OGM051
OGM057,OGM052
OGM058,OGM053
OGM059,OGM054
OGM060,OGM055
OGM061,OGM056
OGM062,OGM057
OGM064,OGM058
OGM065,OGM059
OGM066,OGM060
OGM067,OGM061
OGM068,OGM062
OGM069,OGM063
OGM071,OGM064
OGM072,OGM065
OGM073,OGM066
OGM073.2,OGM066.2
OGM073.3,OGM066.3
OGM074,OGM067
OGM075,OGM068
OGM076,OGM069
OGM077,OGM070
OGM078,OGM071
OGM079,OGM072
OGM080,OGM073
OGM081,OGM074
OGM082,OGM075
OGM083,OGM076
OGM084,OGM077
OGM085,OGM078
OGM087,OGM079
OGM088,OGM080
OGM089,OGM081
OGM090,OGM082
OGM091,OGM083
OGM093,OGM084
OGM094,OGM085
OGM095,OGM086
OGM096,OGM087
OGM097,OGM088
OGM098,OGM089
OGM099,OGM090
OGM100,OGM091
OGM101,OGM092
OGM102,OGM093
OGM103,OGM094
OGM104,OGM095
OGM105,OGM096
OGM106,OGM097
OGM107,OGM098
OGM108,OGM099
OGM110,OGM100
OGM111,OGM101
OGM113,OGM102
OGM114,OGM103
OGM115,OGM104
OGM116,OGM105
OGM118,OGM106
OGM119,OGM107
OGM120,OGM108
OGM120.2,OGM108.2
OGM120.3,OGM108.3
OGM121,OGM109
OGM122,OGM110
OGM123,OGM111
OGM124,OGM112
OGM125,OGM113
OGM126,OGM114
OGM127,OGM115
OGM128,OGM116
OGM129,OGM117
OGM130,OGM118
OGM131,OGM119
OGM132,OGM120
OGM133,OGM121
OGM134,OGM122
OGM135,OGM123
OGM136,OGM124
OGM137,OGM125
OGM138,OGM126
OGM139,OGM127
OGM140,OGM128
OGM141,OGM129
OGM142,OGM130
OGM143,OGM131
OGM144,OGM132
OGM145,OGM133
OGM146,OGM134
OGM147,OGM135
SGM001,SGM001
SGM003,SGM002
SGM004,SGM003
SGM005,SGM004
SGM006,SGM005
SGM008,SGM006
SGM009,SGM007
SGM010,SGM008
SGM011,SGM009
SGM012,SGM010
SGM013,SGM011
SGM014,SGM012
SGM015,SGM013
SGM016,SGM014
SGM017,SGM015
SGM018,SGM016
SGM019,SGM017
SGM020,SGM018
SGM021,SGM019
SGM022,SGM020
SGM023,SGM021
SGM024,SGM022
SGM025,SGM023
SGM027,SGM024
SGM028,SGM025
SGM029,SGM026
SGM030,SGM027
SGM030.2,SGM027.2
SGM030.3,SGM027.3
SGM031,SGM028
SGM033,SGM029
SGM034,SGM030
SGM035,SGM031
SGM036,SGM032
SGM037,SGM033
SGM038,SGM034
SGM039,SGM035
